course_id,course_name,course_description,product_family,category,difficulty,keywords,estimated_time_minutes,prerequisite_courses,related_courses,created_date,Link,
C001,"갤럭시 Z 폴드5, 멀티태스킹의 모든 것","Z 폴드5의 대화면을 활용한 멀티윈도우, 앱 연속성 등 실전 활용법을 익혀 고객에게 새로운 경험을 제안하는 방법을 학습합니다.",Galaxy Z,제품 심화 기능,상,#멀티태스킹 #대화면 #S펜활용,45,C002,"C015, C021",2023-02-16,https://www.samsung.com/sec/smartphones/all-smartphones/,
C002,"갤럭시 Z, 왜 폴더블인가?","폴더블 스마트폰의 역사와 기술적 혁신을 이해하고, 고객에게 폼팩터의 가치를 효과적으로 전달하는 방법을 배웁니다.",Galaxy Z,제품 기초,하,#폴더블 #폼팩터 #혁신,30,,"C001, C003",2024-08-10,https://www.samsung.com/sec/tablets/all-tablets/,
C003,Z 플립5 핵심 기능 AtoZ,커버 스크린 '플렉스 윈도우'와 '플렉스캠'을 100% 활용하여 젊은 고객층에게 어필하는 방법을 학습합니다.,Galaxy Z,제품 기초,중,#플렉스캠 #플렉스윈도우 #컴팩트디자인,35,,C022,2024-05-01,https://www.samsung.com/sec/watches/all-watches/,
C010,"갤럭시 S24, AI 카메라 활용법","서클 투 서치', '생성형 편집' 등 최신 AI 기능을 활용하여 고객의 사진 경험을 극대화하는 상담 스킬을 익힙니다.",Galaxy S,제품 심화 기능,상,#AI카메라 #서클투서치 #생성형편집,50,C011,"C012, C021",2023-09-16,https://www.samsung.com/sec/buds/all-buds/,
C011,갤럭시 S 시리즈의 가치와 역사,갤럭시 S 시리즈가 삼성의 플래그십으로 자리잡기까지의 기술적 리더십과 브랜드 스토리를 학습합니다.,Galaxy S,제품 기초,하,#플래그십 #역사 #브랜드,25,,C010,2023-09-15,https://www.samsung.com/sec/rings/all-rings/,
C012,프로급 사진 촬영을 위한 Expert RAW 활용법,"Expert RAW 앱의 상세 기능(ISO, 셔터속도 등)을 익혀 전문가급 고객을 응대하는 스킬을 배웁니다.",Galaxy S,전문가 과정,상,#ExpertRAW #ProMode #카메라전문가,60,C010,,2023-04-08,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C020,"고객 불만, 기회로 만드는 응대 전략",제품 불만 및 서비스 관련 고객 클레임에 효과적으로 응대하여 고객 충성도를 높이는 커뮤니케이션 스킬을 학습합니다.,공통,고객 응대,중,#클레임 #VOC #고객만족,40,,C021,2023-06-14,https://www.samsung.com/sec/smartphones/all-smartphones/,
C021,성공적인 판매를 이끄는 클로징 멘트,"고객의 구매 결정을 망설이게 하는 요소를 파악하고, 확신을 주는 상황별 클로징 멘트 스킬을 훈련합니다.",공통,영업 전략,중,#클로징 #상담스킬 #판매전략,35,,C020,2023-02-05,https://www.samsung.com/sec/tablets/all-tablets/,
C022,Z세대를 사로잡는 소셜미디어 활용 판매법,"인스타그램, 틱톡 등 Z세대가 활발히 사용하는 플랫폼의 트렌드를 이해하고 이를 활용한 판매 접근법을 학습합니다.",공통,영업 전략,상,#Z세대 #소셜미디어 #트렌드,45,C003,,2023-09-23,https://www.samsung.com/sec/watches/all-watches/,
C030,"가성비를 넘어 가심비로, 갤럭시 A 시리즈",갤럭시 A 시리즈의 주요 특장점을 경쟁사 모델과 비교 분석하여 고객에게 가치를 설득하는 방법을 배웁니다.,Galaxy A,제품 기초,하,#가성비 #A시리즈 #비교분석,30,,C031,2023-07-07,https://www.samsung.com/sec/buds/all-buds/,
C031,"부모님을 위한 최고의 스마트폰, 갤럭시 A","시니어 고객층의 스마트폰 사용 패턴을 이해하고, 큰 글씨, 쉬운 사용법 등 맞춤형 기능을 중심으로 상담하는 법을 익힙니다.",Galaxy A,영업 전략,중,#효도폰 #시니어 #쉬운사용법,40,,C030,2023-12-31,https://www.samsung.com/sec/rings/all-rings/,
C012,Galaxy A 핵심 기능 이해: 현장 적용 팁,"Galaxy A의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy A,제품 기초,하,#S펜활용 #Z세대 #카메라전문가 #트렌드 #플렉스캠,48,,,2024-05-22,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C013,Galaxy S 보안 & 편의: 사례 중심 학습,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy S,제품 심화 기능,하,#클로징 #폴더블,49,,"C003, C012",2024-03-16,https://www.samsung.com/sec/smartphones/all-smartphones/,
C014,Galaxy S 첫걸음: 사례 중심 학습,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy S,제품 기초,하,#ExpertRAW #디지털마케팅 #멀티태스킹 #서클투서치,28,,"C002, C007, C010",2023-09-13,https://www.samsung.com/sec/tablets/all-tablets/,
C015,Galaxy A 디스플레이 활용,"Galaxy A의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy A,제품 심화 기능,상,#A시리즈 #고객만족 #크로스셀링,50,,,2024-08-30,https://www.samsung.com/sec/watches/all-watches/,
C016,Galaxy S 핵심 기능 이해,"Galaxy S의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy S,제품 기초,중,#AI카메라 #인물사진,24,,,2023-09-18,https://www.samsung.com/sec/buds/all-buds/,
C017,Galaxy Z 시리즈 한눈에 보기,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy Z,제품 기초,하,#ProMode #가성비 #생산성 #쉬운사용법,29,,"C001, C014, C016",2023-11-18,https://www.samsung.com/sec/rings/all-rings/,
C018,Galaxy S 첫걸음: 현장 적용 팁,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy S,제품 기초,중,#OneUI #게이밍 #방수방진 #쉬운사용법 #역사,35,,"C001, C007, C011",2024-01-15,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C019,Galaxy S 라인업 비교: AtoZ,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy S,제품 기초,중,#OneUI #게이밍 #방수방진 #배터리 #인물사진,40,,"C002, C012, C014",2024-12-26,https://www.samsung.com/sec/smartphones/all-smartphones/,
C020,리뷰 관리,고객 유형별 페르소나를 기반으로 고객 응대 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,공통,고객 응대,중,#ProMode #서클투서치 #인물사진,45,,"C011, C019",2023-12-25,https://www.samsung.com/sec/tablets/all-tablets/,
C021,Galaxy A 시스템 튜닝,고객 유형별 페르소나를 기반으로 전문가 과정 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy A,전문가 과정,중,#Z세대 #대화면 #생산성 #클로징 #플래그십,86,,C019,2023-06-21,https://www.samsung.com/sec/watches/all-watches/,
C022,Galaxy A 핵심 기능 이해: 현장 적용 팁,"Galaxy A의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy A,제품 기초,하,#브랜드 #상담스킬 #소셜미디어,23,,,2023-10-09,https://www.samsung.com/sec/buds/all-buds/,
C023,Galaxy A 라인업 비교: 사례 중심 학습,"Galaxy A의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy A,제품 기초,하,#게이밍 #클레임,34,,C016,2024-01-18,https://www.samsung.com/sec/rings/all-rings/,
C024,Galaxy Z 배터리 최적화: 사례 중심 학습,고객 유형별 페르소나를 기반으로 제품 심화 기능 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy Z,제품 심화 기능,상,#AI카메라 #A시리즈 #Z세대 #보안 #생성형편집,39,,C015,2023-08-01,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C025,Galaxy S 핵심 기능 이해,실제 상담 시나리오와 데모 흐름을 통해 Galaxy S의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy S,제품 기초,하,#ProMode #대화면 #비교분석 #플래그십,25,,C012,2023-06-10,https://www.samsung.com/sec/smartphones/all-smartphones/,
C026,Galaxy Z 첫걸음: AtoZ,고객 유형별 페르소나를 기반으로 제품 기초 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy Z,제품 기초,중,#멀티태스킹 #앱최적화 #폼팩터 #플렉스캠,42,"C012, C017","C003, C014, C023",2024-09-16,https://www.samsung.com/sec/tablets/all-tablets/,
C027,Galaxy Z 핵심 기능 이해: 사례 중심 학습,고객 유형별 페르소나를 기반으로 제품 기초 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy Z,제품 기초,하,#게이밍 #디지털마케팅 #보안 #폼팩터,28,"C001, C013","C009, C011",2023-12-28,https://www.samsung.com/sec/watches/all-watches/,
C028,Galaxy A 디스플레이 활용,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,Galaxy A,제품 심화 기능,상,#게이밍 #대화면 #상담스킬 #클로징 #트렌드,42,"C006, C021","C003, C014",2024-12-30,https://www.samsung.com/sec/buds/all-buds/,
C029,Galaxy S 프로 모드 마스터: 현장 적용 팁,실제 상담 시나리오와 데모 흐름을 통해 Galaxy S의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy S,전문가 과정,상,#게이밍 #폴더블 #혁신,72,C025,"C013, C017, C018",2023-02-26,https://www.samsung.com/sec/rings/all-rings/,
C030,온라인 전환: 실전 가이드,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,공통,입문 전략,하,#Z세대 #보안 #컴팩트디자인 #판매전략,45,,,2024-11-22,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C031,Galaxy Z 고급 문제 해결: 사례 중심 학습,"Galaxy Z의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy Z,전문가 과정,상,#Z세대 #가성비 #게이밍 #서클투서치 #업무효율,63,C002,"C005, C015, C024",2023-10-20,https://www.samsung.com/sec/smartphones/all-smartphones/,
C032,Galaxy S 카메라 심화: 현장 적용 팁,고객 유형별 페르소나를 기반으로 제품 심화 기능 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy S,제품 심화 기능,하,#업셀링 #인물사진 #크로스셀링,49,"C010, C015",,2024-12-23,https://www.samsung.com/sec/tablets/all-tablets/,
C033,Galaxy A 기초 다지기,실제 상담 시나리오와 데모 흐름을 통해 Galaxy A의 강점을 자연스럽게 드러내는 방법을 익힙니다.,Galaxy A,제품 기초,중,#고객만족 #방수방진,33,,,2024-03-09,https://www.samsung.com/sec/watches/all-watches/,
C034,리뷰 관리: 현장 적용 팁,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,공통,고객 응대,상,#보안 #크로스셀링 #판매전략 #플렉스캠,27,,,2024-01-08,https://www.samsung.com/sec/buds/all-buds/,
C035,Galaxy S 시리즈 한눈에 보기: 사례 중심 학습,경쟁 제품 대비 차별화 요소를 정량/정성 데이터로 설명하는 법을 연습합니다.,Galaxy S,제품 기초,중,#ExpertRAW #디스플레이 #역사 #카메라전문가 #혁신,31,"C017, C021",C017,2024-06-16,https://www.samsung.com/sec/rings/all-rings/,
C036,Galaxy S 핵심 기능 이해: 사례 중심 학습,"Galaxy S의 특징과 고객 가치 포인트를 사례 중심으로 학습하고, 현장에서 바로 적용 가능한 스크립트를 제공합니다.",Galaxy S,제품 기초,하,#대화면 #디스플레이 #플래그십,31,C013,"C014, C024",2024-09-27,https://www.samsung.com/sec/mobile-accessories/all-mobile-accessories/,
C037,클로징 멘트 실습,현장 Q&A를 반영한 빈출 이슈 해결 가이드와 체크리스트를 제공합니다.,공통,영업 전략,중,#고객만족 #보안 #삼성페이 #클로징 #혁신,32,,"C011, C035, C036",2023-06-13,https://www.samsung.com/sec/smartphones/all-smartphones/,
C038,Galaxy S 보안 & 편의: 실전 가이드,고객 유형별 페르소나를 기반으로 제품 심화 기능 상황에서의 최적 멘트와 질문 리스트를 제시합니다.,Galaxy S,제품 심화 기능,중,#ProMode #대화면 #배터리 #소셜미디어 #크로스셀링,51,C037,"C018, C023, C035",2023-01-09,https://www.samsung.com/sec/tablets/all-tablets/,
